# alpha_deg   CL   CD
0.00000000  -0.29395224  0.17179593
5.00000000  -0.59753960  0.21124380
10.00000000  -1.09667118  0.31347769
15.00000000  -1.42109315  0.41270297
20.00000000  -1.64718216  0.49737020
25.00000000  -1.86641321  0.59012746
28.00000000  -1.87975275  0.62115936
30.00000000  -1.91360424  0.65772786
32.00000000  -1.83432958  0.64425832
35.00000000  -1.88092395  0.70110240
40.00000000  -1.25116525  0.69016326
45.00000000  -1.12265106  0.75390291
50.00000000  -0.94670073  0.82143939
60.00000000  -0.66337446  1.01245487
70.00000000  -0.45081811  1.13716524
80.00000000  -0.27873644  1.43531615
85.00000000  -0.14544642  1.51707848
90.00000000  -0.01161357  1.57523161
95.00000000  0.14798957  1.50631488
100.00000000  0.26485648  1.45645693
110.00000000  0.44907169  1.13766497
120.00000000  0.66032263  1.01368673
130.00000000  0.94552116  0.82010452
135.00000000  1.11561131  0.75437907
140.00000000  1.25179660  0.69380394
145.00000000  1.89102251  0.69889768
150.00000000  1.89937817  0.65199591
155.00000000  1.85921041  0.58891643
160.00000000  1.67349658  0.50481182
165.00000000  1.41720654  0.41157968
170.00000000  1.17714781  0.32242247
175.00000000  0.60636679  0.21447235
180.00000000  0.26555131  0.17291675
