time,load_ID,sail_enable,surge,sway,heave,roll,pitch,yaw,surge_rate,sway_rate,heave_rate,roll_rate,pitch_rate,yaw_rate,V_CG_BODY_X,V_CG_BODY_Y,V_CG_BODY_Z,OMEGA_BODY_X,OMEGA_BODY_Y,OMEGA_BODY_Z,V_WIND_BODY_X,V_WIND_BODY_Y,V_WIND_BODY_Z,V_REL_BODY_X,V_REL_BODY_Y,V_REL_BODY_Z,V_REL_H_MAG,E_UPSTREAM_X,E_UPSTREAM_Y,E_UPSTREAM_Z,C_CHORD_X,C_CHORD_Y,C_CHORD_Z,ALPHA_RAW_DEG,ALPHA_DB_DEG,CL,CD,Q_DYNAMIC,Fx,Fy,Fz,Mx,My,Mz,FX_PLANNING,FY_PLANNING,FZ_PLANNING,MX_PLANNING,MY_PLANNING,MZ_PLANNING,case
0.005,1,T,0.0,0.0,6.273419000989397e-06,0.0,5.362904239887867e-06,0.0,0.0,0.0,0.003123822775107228,0.0,0.00234310724368454,0.0,32.07798431582427,0.0,0.003295853933248189,0.0,0.00234310724368454,0.0,0.0,10.0,0.0,-32.0896998520427,10.0,-0.003295853933248189,33.61173658997983,0.95471710502483,-0.2975151246121913,0.0,0.0,-1.0,0.0,72.691583287073,72.691583287073,-0.4045008953016389,1.217415040638161,691.9711624139409,-13313.16635167281,-248.9491111436341,0.0,1244.74555571817,-66565.83175836403,0.0,-13313.16635148136,-248.9491111436341,0.07139723627337634,1244.74555570027,-66565.83175836403,-0.006675451218310558,dt_005
0.01,1,T,0.0,0.0,3.123693942679579e-05,0.0,2.341234448325141e-05,0.0,0.0,0.0,0.006863186879843847,0.0,0.004875075957568756,0.0,32.07798416356346,0.0,0.007614207697427685,0.0,0.004875075957568756,0.0,0.0,10.0,0.0,-32.1023595433513,10.0,-0.007614207697427685,33.62382322477023,0.9547504258736974,-0.2974081779205028,0.0,0.0,-1.0,0.0,72.6980014051725,72.6980014051725,-0.4043904512535569,1.217606397413346,692.4689115534915,-13324.27130414299,-248.9341478235369,0.0,1244.670739117684,-66621.35652071497,0.0,-13324.27130049122,-248.9341478235369,0.3119524297323985,1244.670738776559,-66621.35652071497,-0.02914066010978419,dt_005
0.015,1,T,0.0,0.0,7.512569142748021e-05,0.0,5.408004637793223e-05,0.0,0.0,0.0,0.01073736249336174,0.0,0.007386314027826408,0.0,32.07798370545281,0.0,0.01247214135725591,0.0,0.007386314027826408,0.0,0.0,10.0,0.0,-32.11491527559194,10.0,-0.01247214135725591,33.63581102275443,0.9547834376244528,-0.2973021816906706,0.0,0.0,-1.0,0.0,72.70436226289127,72.70436226289127,-0.4042809925516692,1.217796046965069,692.9627671845498,-13335.29008904638,-248.9195805707178,0.0,1244.597902853589,-66676.45044523192,0.0,-13335.29006954585,-248.9195805707178,0.7211731061272786,1244.597901033581,-66676.45044523192,-0.0673079122753906,dt_005
0.02,1,T,0.0,0.0,0.000139234812562847,0.0,9.723218136113e-05,0.0,0.0,0.0,0.01497969339266169,0.0,0.009875461878035044,0.0,32.07798272489588,0.0,0.01809870570730685,0.0,0.009875461878035044,0.0,0.0,10.0,0.0,-32.12736003428605,10.0,-0.01809870570730685,33.64769327565622,0.9548161227899056,-0.2971971932243838,0.0,0.0,-1.0,0.0,72.71066242773675,72.71066242773675,-0.4041725782628806,1.217983886953252,693.4524484482423,-13346.21642211006,-248.9054105724464,0.0,1244.527052862232,-66731.08211055028,0.0,-13346.21635902184,-248.9054105724464,1.297681733594762,1244.527046979292,-66731.08211055028,-0.1210080799220628,dt_005
0.025,1,T,0.0,0.0,0.0002252667142412404,0.0,0.000152840100369471,0.0,0.0,0.0,0.01946962749164701,0.0,0.0123821401803569,0.0,32.07798098262612,0.0,0.0243724295902644,0.0,0.0123821401803569,0.0,0.0,10.0,0.0,-32.1398916835279,10.0,-0.0243724295902644,33.65965890244442,0.954849001193944,-0.2970915429946256,0.0,0.0,-1.0,0.0,72.71700208612766,72.71700208612766,-0.4040634843625668,1.218172904445086,693.9457404252049,-13357.22401105772,-248.8914117880223,0.0,1244.457058940111,-66786.1200552886,0.0,-13357.2238550447,-248.8914117880223,2.041519450559222,1244.457044404793,-66786.1200552886,-0.1902029410533768,dt_005
0.03,1,T,0.0,0.0,0.0003343594495212133,0.0,0.0002211570196346044,0.0,0.0,0.0,0.02421024760094677,0.0,0.01494724777691807,0.0,32.07797819429822,0.0,0.03130451836202965,0.0,0.01494724777691807,0.0,0.0,10.0,0.0,-32.15271443318281,10.0,-0.03130451836202965,33.67190290764396,0.9548826070617982,-0.2969835125572862,0.0,0.0,-1.0,0.0,72.72348434581812,72.72348434581812,-0.403951936555276,1.218366173607643,694.4506903208537,-13368.49245714479,-248.8773684669617,0.0,1244.386842334809,-66842.46228572396,0.0,-13368.49213021545,-248.8773684669617,2.956535924728926,1244.386811903063,-66842.46228572396,-0.2752048830798846,dt_005
0.035,1,T,0.0,0.0,0.0004669975092028317,0.0,0.0003022301432470434,0.0,0.0,0.0,0.02880590341719474,0.0,0.01748066056971768,0.0,32.07797416197554,0.0,0.03850083575404151,0.0,0.01748066056971768,0.0,0.0,10.0,0.0,-32.16537746482413,10.0,-0.03850083575404151,33.68399482624672,0.9549157583815064,-0.2968769010796771,0.0,0.0,-1.0,0.0,72.72988123861984,72.72988123861984,-0.4038418577556629,1.218556897548643,694.9495483159521,-13379.62566697313,-248.8637786869165,0.0,1244.318893434582,-66898.12833486564,0.0,-13379.62505590516,-248.8637786869165,4.043726120360055,1244.318836604635,-66898.12833486564,-0.3760706716824954,dt_005
0.04,1,T,0.0,0.0,0.0006225625544411359,0.0,0.0003959171343856719,0.0,0.0,0.0,0.03343217960218541,0.0,0.01998343247319454,0.0,32.07796858254789,0.0,0.04613240028414294,0.0,0.01998343247319454,0.0,0.0,10.0,0.0,-32.17788574491387,10.0,-0.04613240028414294,33.69593938463107,0.9549484695354836,-0.296771663963791,0.0,0.0,-1.0,0.0,72.7361954493309,72.7361954493309,-0.4037332017632737,1.218745156315587,695.4425027452979,-13390.62781741235,-248.8506268371264,0.0,1244.253134185632,-66953.13908706176,0.0,-13390.62676791938,-248.8506268371264,5.301578854590879,1244.253036667059,-66953.13908706176,-0.4926211224674082,dt_005
0.045,1,T,0.0,0.0,0.0008012269862620106,0.0,0.0005020441802105604,0.0,0.0,0.0,0.03807490411258043,0.0,0.02245840451138391,0.0,32.07796117515355,0.0,0.05417946398498788,0.0,0.02245840451138391,0.0,0.0,10.0,0.0,-32.19025319771047,10.0,-0.05417946398498788,33.7077498645743,0.954980778219828,-0.2966676814731457,0.0,0.0,-1.0,0.0,72.74243417032892,72.74243417032892,-0.4036258448104735,1.218931164349866,695.9300955712843,-13401.51098002342,-248.8378887294671,0.0,1244.189443647335,-67007.5549001171,0.0,-13401.50929110903,-248.8378887294671,6.728150310912135,1244.189286849385,-67007.5549001171,-0.6246380430227267,dt_005
0.05,1,T,0.0,0.0,0.001002869426936818,0.0,0.0006204547027578134,0.0,0.0,0.0,0.04258579332794853,0.0,0.02490255975047527,0.0,32.07795173604929,0.0,0.06248872008838864,0.0,0.02490255975047527,0.0,0.0,10.0,0.0,-32.20246453480167,10.0,-0.06248872008838864,33.71941165137908,0.9550126457643762,-0.2965650795864646,0.0,0.0,-1.0,0.0,72.74858985128303,72.74858985128303,-0.4035199168246165,1.21911469653768,696.4117172955351,-13412.26152649127,-248.8255706322952,0.0,1244.127853161476,-67061.30763245633,0.0,-13412.25894487217,-248.8255706322952,8.321700204803285,1244.127613689242,-67061.30763245633,-0.771924927798795,dt_005
