variable,metric,baseline_error,fixed_error,error_unit,improvement_percent
heave,mean,3.065561407350321,3.065561407350321,percent,0.0
heave,std,10.375663020190819,10.375663020190819,percent,0.0
heave,rms,9.090852173520569,9.090852173520569,percent,0.0
heave,ptp,1.7945400221195384,1.7945400221195384,percent,0.0
heave,harmonic_amplitude,16.245706270531343,16.245706270531343,percent,0.0
heave,harmonic_phase_deg,2.6558475349501123,2.6558475349501123,deg,0.0
pitch,mean,0.49443610918024533,0.49443610918024533,percent,0.0
pitch,std,25.71809515097856,25.71809515097856,percent,0.0
pitch,rms,0.49960042861321985,0.49960042861321985,percent,0.0
pitch,ptp,25.14246602063012,25.14246602063012,percent,0.0
pitch,harmonic_amplitude,48.41640196946404,48.41640196946404,percent,0.0
pitch,harmonic_phase_deg,4.386097182213348,4.386097182213348,deg,0.0
V_REL_H_MAG,mean,0.0023019648690383032,0.0023019648690383032,percent,0.0
V_REL_H_MAG,std,13.253815368350748,13.253815368350748,percent,0.0
V_REL_H_MAG,rms,0.0023011803026458362,0.0023011803026458362,percent,0.0
V_REL_H_MAG,ptp,20.362825752709682,20.362825752709682,percent,0.0
V_REL_H_MAG,harmonic_amplitude,65.46282332122074,65.46282332122074,percent,0.0
V_REL_H_MAG,harmonic_phase_deg,2.2442426649396907,2.2442426649396907,deg,0.0
Fx,mean,0.0053371732252476805,0.0053371732252476805,percent,0.0
Fx,std,13.24853365461286,13.24853365461286,percent,0.0
Fx,rms,0.005332953158327567,0.005332953158327567,percent,0.0
Fx,ptp,20.35957328751536,20.35957328751536,percent,0.0
Fx,harmonic_amplitude,65.47757949510346,65.47757949510346,percent,0.0
Fx,harmonic_phase_deg,2.242681309978451,2.242681309978451,deg,0.0
My,mean,0.005337173225242202,0.005337173225242202,percent,0.0
My,std,13.248533654611213,13.248533654611213,percent,0.0
My,rms,0.005332953158324829,0.005332953158324829,percent,0.0
My,ptp,20.359573287548564,20.359573287548564,percent,0.0
My,harmonic_amplitude,65.47757949518575,65.47757949518575,percent,0.0
My,harmonic_phase_deg,2.2426813099724257,2.2426813099724257,deg,0.0
