case,variable,metric,value
B005,heave,mean,-0.0022247446538549735
B005,heave,std,0.007549786460856275
B005,heave,rms,0.007870753736420991
B005,heave,ptp,0.030284240039039068
B005,heave,harmonic_amplitude,0.000400202793091762
B005,heave,harmonic_phase_deg,84.32080199462739
B005,pitch,mean,0.03854478167207009
B005,pitch,std,0.00065042411102515
B005,pitch,rms,0.03855026907392156
B005,pitch,ptp,0.00242278684111992
B005,pitch,harmonic_amplitude,4.824636603762591e-05
B005,pitch,harmonic_phase_deg,47.71028325028898
B005,V_REL_H_MAG,mean,33.576255594142964
B005,V_REL_H_MAG,std,0.008959127975145973
B005,V_REL_H_MAG,rms,33.576256789421755
B005,V_REL_H_MAG,ptp,0.04399892750063117
B005,V_REL_H_MAG,harmonic_amplitude,0.0009123527443629416
B005,V_REL_H_MAG,harmonic_phase_deg,82.86527604585807
B005,Fx,mean,-13280.59557575255
B005,Fx,std,8.219161327381828
B005,Fx,rms,13280.598119110118
B005,Fx,ptp,40.36509196218867
B005,Fx,harmonic_amplitude,0.8368796814222617
B005,Fx,harmonic_phase_deg,-97.12401098448765
B005,My,mean,-66402.97787876276
B005,My,std,41.095806636908215
B005,My,rms,66402.99059555058
B005,My,ptp,201.82545981099247
B005,My,harmonic_amplitude,4.184398407112936
B005,My,harmonic_phase_deg,-97.12401098449745
B0025,heave,mean,-0.0022951024281515475
B0025,heave,std,0.006840082545619868
B0025,heave,rms,0.007214861356020689
B0025,heave,ptp,0.029750357958745553
B0025,heave,harmonic_amplitude,0.00047782958373983884
B0025,heave,harmonic_phase_deg,81.66495445967729
B0025,pitch,mean,0.03835514001013335
B0025,pitch,std,0.000517367138154644
B0025,pitch,rms,0.03835862919803801
B0025,pitch,ptp,0.0019360229330309953
B0025,pitch,harmonic_amplitude,3.250743542991452e-05
B0025,pitch,harmonic_phase_deg,52.096380432502315
B0025,V_REL_H_MAG,mean,33.57702852554369
B0025,V_REL_H_MAG,std,0.007910663270819606
B0025,V_REL_H_MAG,rms,33.57702945740984
B0025,V_REL_H_MAG,ptp,0.036555246377339756
B0025,V_REL_H_MAG,harmonic_amplitude,0.0005513944015035621
B0025,V_REL_H_MAG,harmonic_phase_deg,80.62103338091839
B0025,Fx,mean,-13281.304421976123
B0025,Fx,std,7.257631566735119
B0025,Fx,rms,13281.306404959509
B0025,Fx,ptp,33.53708463701878
B0025,Fx,harmonic_amplitude,0.505735993948972
B0025,Fx,harmonic_phase_deg,-99.3666922944661
B0025,My,mean,-66406.52210988062
B0025,My,std,36.28815783367531
B0025,My,rms,66406.53202479753
B0025,My,ptp,167.68542318508844
B0025,My,harmonic_amplitude,2.528679969744586
B0025,My,harmonic_phase_deg,-99.36669229446987
F005,heave,mean,-0.0022247446538549735
F005,heave,std,0.007549786460856275
F005,heave,rms,0.007870753736420991
F005,heave,ptp,0.030284240039039068
F005,heave,harmonic_amplitude,0.000400202793091762
F005,heave,harmonic_phase_deg,84.32080199462739
F005,pitch,mean,0.03854478167207009
F005,pitch,std,0.00065042411102515
F005,pitch,rms,0.03855026907392156
F005,pitch,ptp,0.00242278684111992
F005,pitch,harmonic_amplitude,4.824636603762591e-05
F005,pitch,harmonic_phase_deg,47.71028325028898
F005,V_REL_H_MAG,mean,33.576255594142964
F005,V_REL_H_MAG,std,0.008959127975145973
F005,V_REL_H_MAG,rms,33.576256789421755
F005,V_REL_H_MAG,ptp,0.04399892750063117
F005,V_REL_H_MAG,harmonic_amplitude,0.0009123527443629416
F005,V_REL_H_MAG,harmonic_phase_deg,82.86527604585807
F005,Fx,mean,-13280.59557575255
F005,Fx,std,8.219161327381828
F005,Fx,rms,13280.598119110118
F005,Fx,ptp,40.36509196218867
F005,Fx,harmonic_amplitude,0.8368796814222617
F005,Fx,harmonic_phase_deg,-97.12401098448765
F005,My,mean,-66402.97787876276
F005,My,std,41.095806636908215
F005,My,rms,66402.99059555058
F005,My,ptp,201.82545981099247
F005,My,harmonic_amplitude,4.184398407112936
F005,My,harmonic_phase_deg,-97.12401098449745
F0025,heave,mean,-0.0022951024281515475
F0025,heave,std,0.006840082545619868
F0025,heave,rms,0.007214861356020689
F0025,heave,ptp,0.029750357958745553
F0025,heave,harmonic_amplitude,0.00047782958373983884
F0025,heave,harmonic_phase_deg,81.66495445967729
F0025,pitch,mean,0.03835514001013335
F0025,pitch,std,0.000517367138154644
F0025,pitch,rms,0.03835862919803801
F0025,pitch,ptp,0.0019360229330309953
F0025,pitch,harmonic_amplitude,3.250743542991452e-05
F0025,pitch,harmonic_phase_deg,52.096380432502315
F0025,V_REL_H_MAG,mean,33.57702852554369
F0025,V_REL_H_MAG,std,0.007910663270819606
F0025,V_REL_H_MAG,rms,33.57702945740984
F0025,V_REL_H_MAG,ptp,0.036555246377339756
F0025,V_REL_H_MAG,harmonic_amplitude,0.0005513944015035621
F0025,V_REL_H_MAG,harmonic_phase_deg,80.62103338091839
F0025,Fx,mean,-13281.304421976123
F0025,Fx,std,7.257631566735119
F0025,Fx,rms,13281.306404959509
F0025,Fx,ptp,33.53708463701878
F0025,Fx,harmonic_amplitude,0.505735993948972
F0025,Fx,harmonic_phase_deg,-99.3666922944661
F0025,My,mean,-66406.52210988062
F0025,My,std,36.28815783367531
F0025,My,rms,66406.53202479753
F0025,My,ptp,167.68542318508844
F0025,My,harmonic_amplitude,2.528679969744586
F0025,My,harmonic_phase_deg,-99.36669229446987
